elated spotless weary frantic obnoxious jolly confused super successful light
annoyed smoggy outstanding poor lovely bright awful defiant uptight witty
concerned alive anxious wrong modern uptight friendly expensive unsightly powerful
cooperative cautious bright expensive bright tender stupid ill mysterious outrageous
gifted colorful expensive elegant outrageous frantic worrisome courageous tasty inquisitive
hungry hilarious fantastic depressed victorious happy quaint spotless disturbed clever
calm crazy ugliest relieved cruel important modern fancy impossible drab
perfect vivacious depressed curious envious super gorgeous talented encouraging agreeable
troubled terrible faithful glamorous light vast gleaming wandering tender distinct
encouraging mysterious clear tasty hungry dull bored excited glorious courageous
defeated thoughtless concerned vivacious cooperative worried fierce wild disgusted easy
BinaryNumber_0110010 BinaryNumber_1000001 BinaryNumber_0100001 BinaryNumber_0111001 BinaryNumber_0111001 BinaryNumber_0001100 BinaryNumber_1011001 BinaryNumber_0100101 BinaryNumber_0100101 BinaryNumber_1010000
BinaryNumber_0111001 BinaryNumber_1000011 BinaryNumber_0000010 BinaryNumber_0110011 BinaryNumber_0101100 BinaryNumber_1010110 BinaryNumber_0010001 BinaryNumber_0000100 BinaryNumber_0100000 BinaryNumber_1011111
BinaryNumber_0100101 BinaryNumber_1010110 BinaryNumber_1000110 BinaryNumber_0001101 BinaryNumber_1000110 BinaryNumber_0101001 BinaryNumber_1100011 BinaryNumber_1001011 BinaryNumber_0011111 BinaryNumber_1011010
BinaryNumber_0111000 BinaryNumber_1010001 BinaryNumber_1001100 BinaryNumber_0011001 BinaryNumber_0101011 BinaryNumber_1000010 BinaryNumber_0001010 BinaryNumber_1011000 BinaryNumber_0000010 BinaryNumber_0000001
BinaryNumber_0010110 BinaryNumber_0111111 BinaryNumber_0110111 BinaryNumber_0010101 BinaryNumber_1001011 BinaryNumber_1001011 BinaryNumber_0100001 BinaryNumber_0110001 BinaryNumber_1000100 BinaryNumber_0110000
BinaryNumber_0001010 BinaryNumber_0110100 BinaryNumber_1011101 BinaryNumber_0111010 BinaryNumber_0011010 BinaryNumber_0100001 BinaryNumber_0101000 BinaryNumber_1010001 BinaryNumber_1011011 BinaryNumber_0010010
BinaryNumber_1011011 BinaryNumber_1000011 BinaryNumber_1010001 BinaryNumber_0111001 BinaryNumber_1000001 BinaryNumber_0011010 BinaryNumber_1011111 BinaryNumber_1011100 BinaryNumber_1010010 BinaryNumber_0011111
BinaryNumber_0101010 BinaryNumber_0111010 BinaryNumber_0001011 BinaryNumber_0101111 BinaryNumber_1010010 BinaryNumber_1000110 BinaryNumber_1010101 BinaryNumber_0100111 BinaryNumber_0011000 BinaryNumber_0111000
BinaryNumber_1011000 BinaryNumber_0010001 BinaryNumber_0100011 BinaryNumber_0111000 BinaryNumber_1100011 BinaryNumber_1001101 BinaryNumber_0111001 BinaryNumber_0101101 BinaryNumber_0000110 BinaryNumber_0011001
BinaryNumber_1100011 BinaryNumber_0000111 BinaryNumber_1011101 BinaryNumber_0001101 BinaryNumber_0101011 BinaryNumber_0001101 BinaryNumber_0001011 BinaryNumber_1000101 BinaryNumber_0001010 BinaryNumber_0000010
BinaryNumber_1000001 BinaryNumber_0111100 BinaryNumber_1011110 BinaryNumber_1001100 BinaryNumber_0111100 BinaryNumber_0111001 BinaryNumber_0001110 BinaryNumber_1001101 BinaryNumber_1011100 BinaryNumber_0010101
