Honeydew Passionfruit Cashew Redcurrant Honeyberry Plum Cantaloupe Akebi Clementine Raspberry
Plum Jujube Tangerine Satsuma Guava Persimmon Raisin Huckleberry Nance Guava
Fig Tamarind Fig Acerola Cherimoya Cloudberry Peach Breadfruit Abiu Peach
Melon Grape Plum Sapodilla Coconut Blackberry Apple Grapefruit Guava Jujube
Blackberry Strawberry Quince Abiu Tangerine Grapefruit Banana Cranberry Longan Plumcot
Apple Satsuma Salak Plumcot Açaí Longan Pineapple Cloudberry Nectarine Blackcurrant
Nectarine Mandarine Mango Tamarind Jujube Coconut Coconut Persimmon Durian Blackberry
Breadfruit Jostaberry Jostaberry Persimmon Blueberry Currant Boysenberry Mulberry Loganberry Marionberry
Mulberry Canistel Guava Tamarind Sapote Mandarine Gooseberry Salak Plantain Honeydew
Açaí Salak Satsuma Salak Huckleberry Tayberry Avocado Persimmon Gooseberry Coconut
Tangerine Salmonberry Damson Raspberry Quince Raisin Lulo Pear Araza Pawpaw
14:21 15:17 15:18 17:21 23:50 13:44 10:51 19:58 22:26 19:53
15:36 10:24 11:37 22:26 19:20 20:15 21:18 11:55 20:49 17:30
20:12 21:56 23:58 20:52 18:29 18:57 10:57 18:17 16:18 17:23
10:45 19:55 19:38 10:24 22:37 18:41 21:48 12:58 18:40 23:45
21:11 15:41 17:46 14:19 22:59 21:52 21:51 13:11 22:24 14:45
17:15 13:35 11:18 18:48 13:31 22:57 15:33 21:11 14:30 21:25
16:33 14:11 21:34 13:16 23:25 21:57 21:32 12:35 16:17 23:21
18:43 10:14 14:39 14:42 17:54 10:39 17:30 15:47 22:28 23:45
20:13 15:16 22:45 14:55 13:51 15:12 11:29 19:53 11:34 20:47
14:25 14:24 17:11 15:18 20:30 15:29 20:20 19:35 20:46 10:55
22:51 14:46 17:29 15:35 11:27 19:20 21:36 23:37 13:31 10:35
frightened good unsightly lucky weary relieved fierce upset horrible jolly
anxious gentle smoggy clever dull ill lonely poised careful hungry
old-fashioned cooperative thoughtful strange wild good cheerful foolish expensive fair
splendid spotless brave cooperative scary drab fancy busy blue impossible
