Pawpaw Rambutan  Redcurrant Cherry Cempedak Elderberry Durian Satsuma Pomelo Salmonberry
Cherimoya Apricot Grapefruit Plumcot Lime Lychee Tamarillo Cempedak Redcurrant Loganberry
Honeyberry Jujube Ackee Yuzu Quince Boysenberry Tamarillo Mandarine Melon Raspberry
Huckleberry Sapodilla Loganberry Date Lychee Bilberry Cempedak Gooseberry Persimmon Orange
Raisin Kiwano Tayberry Salmonberry Blueberry Quince Cloudberry Mangosteen Papaya Tamarillo
Jostaberry Soursop Sapote Grapefruit Elderberry Nectarine Grape Breadfruit Orange Date
Prune Plantain Kiwano Mango Redcurrant Canistel Grape Watermelon Jackfruit Plantain
Salmonberry Tamarind Mango Mandarine Pawpaw Açaí Date Banana Cloudberry Cempedak
Kiwifruit Passionfruit Cloudberry Sapote Pawpaw Mulberry Pineapple Ximenia Honeyberry Pineapple
Elderberry Tangelo Huckleberry Feijoa Acerola Loganberry Kiwifruit Kiwano Araza Cherimoya
Tangelo Lychee Jambul Kiwano Gooseberry Blackcurrant Yuzu Raspberry Satsuma Cherimoya
BinaryNumber_0011110 BinaryNumber_1010111 BinaryNumber_1000011 BinaryNumber_1010000 BinaryNumber_1000001 BinaryNumber_1100001 BinaryNumber_0001100 BinaryNumber_1010100 BinaryNumber_0010101 BinaryNumber_0011111
BinaryNumber_0100111 BinaryNumber_0011111 BinaryNumber_0011001 BinaryNumber_0100110 BinaryNumber_1001000 BinaryNumber_1010110 BinaryNumber_1011001 BinaryNumber_0111011 BinaryNumber_0001000 BinaryNumber_0110010
BinaryNumber_0111110 BinaryNumber_0110110 BinaryNumber_0010000 BinaryNumber_1010001 BinaryNumber_0111001 BinaryNumber_1000100 BinaryNumber_1010101 BinaryNumber_1000111 BinaryNumber_1010101 BinaryNumber_1100000
BinaryNumber_0111011 BinaryNumber_0011101 BinaryNumber_1000111 BinaryNumber_1010000 BinaryNumber_0010011 BinaryNumber_1000101 BinaryNumber_0001111 BinaryNumber_0100001 BinaryNumber_0100010 BinaryNumber_1000100
BinaryNumber_0101100 BinaryNumber_1011011 BinaryNumber_1010100 BinaryNumber_1011000 BinaryNumber_0010100 BinaryNumber_0111001 BinaryNumber_0011001 BinaryNumber_1010000 BinaryNumber_0101101 BinaryNumber_0100001
BinaryNumber_0101011 BinaryNumber_1010010 BinaryNumber_0000100 BinaryNumber_1011011 BinaryNumber_0011100 BinaryNumber_1011100 BinaryNumber_1001100 BinaryNumber_0011100 BinaryNumber_0111110 BinaryNumber_1001101
BinaryNumber_1011001 BinaryNumber_0010000 BinaryNumber_0011000 BinaryNumber_0100010 BinaryNumber_1011001 BinaryNumber_0011011 BinaryNumber_0000010 BinaryNumber_0111011 BinaryNumber_1000110 BinaryNumber_0000100
BinaryNumber_0110000 BinaryNumber_0011111 BinaryNumber_1001110 BinaryNumber_1011111 BinaryNumber_1011011 BinaryNumber_1000001 BinaryNumber_0010111 BinaryNumber_1001001 BinaryNumber_1100000 BinaryNumber_1011011
BinaryNumber_0111011 BinaryNumber_1001101 BinaryNumber_0000001 BinaryNumber_1000100 BinaryNumber_0001111 BinaryNumber_1001010 BinaryNumber_0111001 BinaryNumber_1010001 BinaryNumber_0011010 BinaryNumber_0000110
BinaryNumber_1010100 BinaryNumber_1010111 BinaryNumber_1100000 BinaryNumber_0101001 BinaryNumber_1100011 BinaryNumber_0001001 BinaryNumber_1010000 BinaryNumber_0111011 BinaryNumber_1001101 BinaryNumber_0011111
BinaryNumber_1010111 BinaryNumber_0000110 BinaryNumber_0000010 BinaryNumber_0011101 BinaryNumber_0110010 BinaryNumber_1010111 BinaryNumber_1011010 BinaryNumber_0100010 BinaryNumber_1010010 BinaryNumber_0100010
23:26 20:21 18:23 20:49 14:16 19:21 13:52 19:24 12:45 11:30
23:59 12:23 14:37 22:40 22:26 11:31 11:29 17:24 20:22 22:10
13:23 14:56 21:34 22:48 13:44 13:43 10:35 11:26 18:49 22:57
13:56 18:40 19:13 23:56 15:52 13:10 15:39 11:56 13:14 19:24
23:36 21:37 11:54 10:33 11:56 18:26 13:36 19:45 22:39 17:33
