temperature__84c temperature__82c temperature__131c temperature__59c temperature__111c temperature__85c temperature__21c temperature__16c temperature__105c temperature__144c
temperature__79c temperature__51c temperature__138c temperature__34c temperature__68c temperature__82c temperature__119c temperature__123c temperature__44c temperature__141c
temperature__118c temperature__70c temperature__106c temperature__144c temperature__47c temperature__54c temperature__49c temperature__138c temperature__93c temperature__30c
temperature__5c temperature__44c temperature__41c temperature__106c temperature__8c temperature__73c temperature__111c temperature__59c temperature__23c temperature__65c
temperature__93c temperature__79c temperature__14c temperature__140c temperature__105c temperature__26c temperature__92c temperature__119c temperature__116c temperature__50c
temperature__90c temperature__24c temperature__129c temperature__52c temperature__148c temperature__95c temperature__111c temperature__14c temperature__39c temperature__79c
temperature__61c temperature__132c temperature__145c temperature__31c temperature__30c temperature__21c temperature__71c temperature__11c temperature__74c temperature__24c
temperature__22c temperature__53c temperature__116c temperature__47c temperature__28c temperature__126c temperature__64c temperature__4c temperature__24c temperature__59c
temperature__122c temperature__27c temperature__138c temperature__12c temperature__112c temperature__68c temperature__126c temperature__139c temperature__78c temperature__92c
temperature__95c temperature__98c temperature__79c temperature__58c temperature__50c temperature__132c temperature__58c temperature__2c temperature__98c temperature__78c
temperature__140c temperature__50c temperature__136c temperature__139c temperature__2c temperature__132c temperature__46c temperature__49c temperature__137c temperature__123c
CubeNumber_216000 CubeNumber_357911 CubeNumber_262144 CubeNumber_68921 CubeNumber_5832 CubeNumber_592704 CubeNumber_39304 CubeNumber_778688 CubeNumber_59319 CubeNumber_421875
CubeNumber_27 CubeNumber_17576 CubeNumber_438976 CubeNumber_804357 CubeNumber_216 CubeNumber_729 CubeNumber_64 CubeNumber_10648 CubeNumber_140608 CubeNumber_226981
CubeNumber_140608 CubeNumber_24389 CubeNumber_857375 CubeNumber_704969 CubeNumber_35937 CubeNumber_157464 CubeNumber_85184 CubeNumber_531441 CubeNumber_592704 CubeNumber_6859
CubeNumber_729 CubeNumber_830584 CubeNumber_125000 CubeNumber_216 CubeNumber_91125 CubeNumber_19683 CubeNumber_456533 CubeNumber_592704 CubeNumber_274625 CubeNumber_216000
CubeNumber_328509 CubeNumber_21952 CubeNumber_148877 CubeNumber_274625 CubeNumber_753571 CubeNumber_117649 CubeNumber_531441 CubeNumber_42875 CubeNumber_681472 CubeNumber_343000
CubeNumber_24389 CubeNumber_421875 CubeNumber_474552 CubeNumber_140608 CubeNumber_117649 CubeNumber_804357 CubeNumber_571787 CubeNumber_512000 CubeNumber_5832 CubeNumber_830584
