AliceBlue Tan PaleGoldenrod PeachPuff LimeGreen DarkGoldenrod Ivory Violet DarkRed PaleGreen
Silver Teal Tomato DarkSlateGray DarkTurquoise LightGoldenrodYellow RosyBrown Ivory Violet Green
DeepPink CadetBlue Olive LightGray Sienna DeepSkyBlue Gainsboro Purple SlateBlue Chartreuse
RoyalBlue LightSteelBlue DarkFuchsia Seashell GreenYellow Bisque Sienna OldLace Orchid HotPink
DarkRed DarkOrchid Olive ForestGreen Fuchsia LightPink DeepSkyBlue LightCyan LightSalmon Crimson
LightGreen HotPink FloralWhite SandyBrown LightSlateGray Chartreuse LightPink Chocolate Gainsboro DarkRed
SkyBlue Bisque Beige Snow MediumPurple DarkRed CornflowerBlue DarkBlue DeepPink White
DarkRed Chocolate DarkBlue Cornsilk DarkGoldenrod Blue MediumVioletRed Tan Chartreuse Ivory
Thistle Thistle Plum Brown DarkOliveGreen Maroon DarkCyan DarkRed DarkSlateBlue BlueViolet
HotPink Ivory Purple DarkOrchid Feldspar MintCream PeachPuff Indigo MediumTurquoise LimeGreen
Yellow AliceBlue DeepSkyBlue RosyBrown PeachPuff DarkSlateBlue Orange CornflowerBlue GhostWhite DeepSkyBlue
BinaryNumber_1001000 BinaryNumber_0001001 BinaryNumber_0110010 BinaryNumber_0111111 BinaryNumber_0100111 BinaryNumber_0100001 BinaryNumber_0011101 BinaryNumber_1010000 BinaryNumber_1011000 BinaryNumber_1000011
BinaryNumber_1000010 BinaryNumber_0010101 BinaryNumber_0000010 BinaryNumber_0010000 BinaryNumber_1001111 BinaryNumber_1011100 BinaryNumber_0111001 BinaryNumber_0010101 BinaryNumber_1100011 BinaryNumber_0010000
BinaryNumber_0111101 BinaryNumber_0011010 BinaryNumber_0111100 BinaryNumber_0101110 BinaryNumber_0100101 BinaryNumber_1000001 BinaryNumber_1010100 BinaryNumber_0010000 BinaryNumber_0111000 BinaryNumber_1001111
BinaryNumber_0101100 BinaryNumber_0111000 BinaryNumber_0110100 BinaryNumber_1000001 BinaryNumber_0101110 BinaryNumber_0001010 BinaryNumber_0111001 BinaryNumber_1001011 BinaryNumber_0101010 BinaryNumber_0001101
BinaryNumber_1010100 BinaryNumber_1001001 BinaryNumber_1001011 BinaryNumber_0111011 BinaryNumber_1001101 BinaryNumber_0101110 BinaryNumber_0101100 BinaryNumber_0100010 BinaryNumber_0011101 BinaryNumber_0010110
BinaryNumber_0110011 BinaryNumber_0110101 BinaryNumber_1011000 BinaryNumber_0001111 BinaryNumber_0011000 BinaryNumber_0101100 BinaryNumber_1011010 BinaryNumber_1001000 BinaryNumber_0000110 BinaryNumber_1001011
BinaryNumber_0011000 BinaryNumber_0011100 BinaryNumber_0101001 BinaryNumber_1010101 BinaryNumber_1010001 BinaryNumber_0110001 BinaryNumber_0110011 BinaryNumber_0110011 BinaryNumber_1100010 BinaryNumber_0111000
BinaryNumber_1100000 BinaryNumber_1010110 BinaryNumber_0010011 BinaryNumber_1000011 BinaryNumber_0111000 BinaryNumber_0010011 BinaryNumber_0111000 BinaryNumber_0000010 BinaryNumber_1100000 BinaryNumber_1000010
BinaryNumber_0110011 BinaryNumber_0010010 BinaryNumber_0011111 BinaryNumber_1010101 BinaryNumber_0110001 BinaryNumber_0011111 BinaryNumber_0000111 BinaryNumber_0011010 BinaryNumber_1000010 BinaryNumber_0001011
BinaryNumber_1001010 BinaryNumber_1011110 BinaryNumber_0011000 BinaryNumber_1010100 BinaryNumber_0100010 BinaryNumber_1001011 BinaryNumber_0111001 BinaryNumber_1000010 BinaryNumber_0001000 BinaryNumber_0110000
