motionless terrible precious crazy pleasant foolish upset blue joyous depressed
courageous homely alive ill homeless successful muddy shiny muddy busy
fair difficult misty lovely helpful witty gorgeous nasty adorable comfortable
smiling homely putrid clean defiant vast thankful confused lucky frantic
worrisome brave grumpy sore upset tasty defiant successful famous stupid
depressed puzzled uptight attractive ill nice sore witty powerful silly
creepy disgusted tame jolly angry cloudy pleasant drab splendid cloudy
wrong itchy cute wicked victorious brave cute frightened handsome determined
ill aggressive adventurous quaint good wrong motionless panicky tasty light
dangerous bright different foolish poised vivacious tired terrible homeless muddy
old-fashioned tense relieved fancy homely unsightly open depressed beautiful vast
PapayaWhip DarkFuchsia Wheat Beige DeepSkyBlue Azure HotPink Maroon DarkTurquoise MediumAquamarine
GreenYellow CornflowerBlue ForestGreen OrangeRed LightSkyBlue Black DodgerBlue Navy Bisque Yellow
LightGray Violet DeepPink DarkOliveGreen Salmon BlanchedAlmond Gold Gainsboro Maroon Linen
LightSlateGray Ivory PapayaWhip LemonChiffon PeachPuff Goldenrod Maroon Chartreuse DeepSkyBlue DarkOrchid
Gainsboro Bisque Lavender DarkRed Seashell BlueViolet Fuchsia Snow AntiqueWhite DodgerBlue
DarkSlateBlue NavajoWhite PaleVioletRed Coral DarkCyan DarkGray Brown DarkSeaGreen Khaki PaleGoldenrod
SandyBrown DarkViolet MediumBlue MediumTurquoise LightSalmon LightGray SteelBlue DarkGreen Ivory White
Silver HotPink FloralWhite DarkSlateBlue MediumAquamarine Peru MediumSpringGreen Plum Burlywood MediumOrchid
DeepPink PaleGreen GhostWhite Chartreuse Thistle MediumAquamarine LightGoldenrod MediumAquamarine MediumOrchid SaddleBrown
Azure AntiqueWhite Goldenrod Cyan Lavender Orange DarkSlateBlue SkyBlue Olive MediumBlue
Bisque Lime Brown DarkFuchsia Fuchsia RoyalBlue Honeydew Gold BlanchedAlmond Silver
BinaryNumber_0000011 BinaryNumber_0010101 BinaryNumber_0111110 BinaryNumber_0011011 BinaryNumber_1100001 BinaryNumber_1100011 BinaryNumber_0111110 BinaryNumber_0111111 BinaryNumber_1001010 BinaryNumber_0011110
BinaryNumber_1000010 BinaryNumber_0101111 BinaryNumber_0001110 BinaryNumber_1010011 BinaryNumber_0110101 BinaryNumber_0111101 BinaryNumber_0100001 BinaryNumber_1010100 BinaryNumber_0111000 BinaryNumber_0111010
BinaryNumber_0111110 BinaryNumber_1010001 BinaryNumber_0011111 BinaryNumber_0100101 BinaryNumber_0111101 BinaryNumber_0100101 BinaryNumber_1100001 BinaryNumber_1000001 BinaryNumber_1000111 BinaryNumber_1000001
BinaryNumber_0110101 BinaryNumber_0100111 BinaryNumber_1011101 BinaryNumber_0101001 BinaryNumber_0000101 BinaryNumber_0110011 BinaryNumber_0001010 BinaryNumber_1000100 BinaryNumber_1011000 BinaryNumber_0101011
BinaryNumber_0000001 BinaryNumber_0110111 BinaryNumber_1010101 BinaryNumber_0010100 BinaryNumber_1100010 BinaryNumber_1000001 BinaryNumber_1010101 BinaryNumber_0101010 BinaryNumber_0001100 BinaryNumber_1010001
BinaryNumber_0000001 BinaryNumber_1010110 BinaryNumber_0001111 BinaryNumber_0101011 BinaryNumber_0000100 BinaryNumber_1011010 BinaryNumber_0101111 BinaryNumber_1100000 BinaryNumber_1011110 BinaryNumber_1011111
BinaryNumber_0001000 BinaryNumber_0001100 BinaryNumber_0101110 BinaryNumber_0011010 BinaryNumber_0111011 BinaryNumber_0101101 BinaryNumber_0110110 BinaryNumber_1001101 BinaryNumber_0011101 BinaryNumber_0000010
BinaryNumber_0100100 BinaryNumber_1000011 BinaryNumber_1100011 BinaryNumber_0000101 BinaryNumber_0010110 BinaryNumber_0011110 BinaryNumber_0100010 BinaryNumber_1000001 BinaryNumber_0001010 BinaryNumber_1000000
BinaryNumber_0110011 BinaryNumber_1011010 BinaryNumber_1011111 BinaryNumber_0111100 BinaryNumber_0100110 BinaryNumber_0111010 BinaryNumber_1000000 BinaryNumber_0001110 BinaryNumber_1010010 BinaryNumber_1011000
BinaryNumber_1010010 BinaryNumber_1011010 BinaryNumber_0101100 BinaryNumber_0001011 BinaryNumber_1100000 BinaryNumber_0001001 BinaryNumber_0100101 BinaryNumber_1010001 BinaryNumber_0011110 BinaryNumber_0111001
BinaryNumber_1100001 BinaryNumber_1000000 BinaryNumber_1001101 BinaryNumber_0101110 BinaryNumber_0010110 BinaryNumber_0101001 BinaryNumber_1010010 BinaryNumber_0110100 BinaryNumber_1011100 BinaryNumber_0111100
temperature__105c temperature__59c temperature__74c temperature__54c temperature__36c temperature__119c temperature__130c temperature__5c temperature__130c temperature__141c
temperature__10c temperature__140c temperature__122c temperature__23c temperature__54c temperature__118c temperature__8c temperature__33c temperature__106c temperature__30c
temperature__119c temperature__42c temperature__7c temperature__2c temperature__112c temperature__2c temperature__118c temperature__28c temperature__23c temperature__39c
temperature__56c temperature__6c temperature__136c temperature__147c temperature__78c temperature__146c temperature__2c temperature__54c temperature__68c temperature__79c
temperature__148c temperature__44c temperature__86c temperature__57c temperature__57c temperature__17c temperature__39c temperature__31c temperature__2c temperature__106c
temperature__144c temperature__136c temperature__79c temperature__49c temperature__120c temperature__119c temperature__31c temperature__63c temperature__73c temperature__148c
temperature__26c temperature__27c temperature__0c temperature__90c temperature__111c temperature__71c temperature__46c temperature__31c temperature__93c temperature__16c
temperature__112c temperature__146c temperature__47c temperature__145c temperature__136c temperature__112c temperature__3c temperature__139c temperature__93c temperature__74c
