disturbed combative lazy alert naughty dangerous tame cruel defiant bright
clean agreeable gorgeous helpless nice relieved drab filthy concerned determined
pleasant obnoxious calm adorable combative selfish adorable good thankful bored
frightened disturbed healthy silly frightened glorious ugliest attractive charming friendly
glorious good perfect different kind glorious modern smoggy smoggy foolish
distinct weary homely wide-eyed nasty good enthusiastic obnoxious wandering cooperative
jittery healthy upset uptight creepy enthusiastic easy different elated ill
successful troubled uninterested calm faithful fragile attractive pleasant beautiful stormy
wide-eyed confused wrong difficult blushing clumsy concerned amused spotless calm
careful zealous ashamed spotless open jolly blue-eyed wrong funny attractive
anxious graceful bewildered ashamed graceful worrisome fragile crazy angry precious
DimGray MediumVioletRed LimeGreen LightSlateBlue LightYellow MediumPurple Sienna Khaki PaleTurquoise PaleTurquoise
DarkViolet MediumOrchid Tan Plum SeaGreen Red MediumTurquoise Brown LightSalmon Khaki
Coral RosyBrown LightSkyBlue RoyalBlue LightYellow Gray Turquoise MediumSlateBlue Aquamarine SkyBlue
VioletRed DodgerBlue DarkViolet Lime SkyBlue Pink DarkOrchid AliceBlue LightCyan Goldenrod
Pink Blue BlueViolet LightSlateBlue WhiteSmoke GhostWhite Yellow MidnightBlue DarkGreen BlanchedAlmond
DarkOrange Moccasin DarkSlateBlue DarkSeaGreen LightGoldenrodYellow Chocolate LightSlateBlue DarkSalmon SeaGreen LightGray
WhiteSmoke LightPink Azure LightSeaGreen Bisque AliceBlue SeaGreen LightYellow RosyBrown Indigo
IndianRed LightSlateBlue LightSkyBlue Beige Snow MidnightBlue LightBlue LightSlateBlue RosyBrown LightSkyBlue
DarkGreen Aquamarine LawnGreen MediumBlue SlateBlue Cyan CornflowerBlue LavenderBlush Khaki Tomato
MediumBlue Pink ForestGreen VioletRed DarkSlateBlue DarkKhaki DimGray Sienna Cyan Cornsilk
Tan MediumSlateBlue Silver Lavender RosyBrown PaleVioletRed LightSteelBlue Crimson LightSeaGreen DimGray
BinaryNumber_1011001 BinaryNumber_0001111 BinaryNumber_0100100 BinaryNumber_0100001 BinaryNumber_0101011 BinaryNumber_1001111 BinaryNumber_1011101 BinaryNumber_0011100 BinaryNumber_1000000 BinaryNumber_1010101
BinaryNumber_0111110 BinaryNumber_0101101 BinaryNumber_0001110 BinaryNumber_0100101 BinaryNumber_1000010 BinaryNumber_0110101 BinaryNumber_1011111 BinaryNumber_1001110 BinaryNumber_0110111 BinaryNumber_0101100
