Pomelo Mulberry Avocado Nectarine Tamarind Jujube Papaya Abiu Cantaloupe Persimmon
Cranberry Prune Plum Peach Cempedak Mangosteen Sapote Jackfruit Huckleberry Apricot
Rambutan  Peach Marionberry Marionberry Mulberry Tamarind Satsuma Pawpaw Cloudberry Orange
Lime Raisin Araza Longan Blackcurrant Cashew Cloudberry Cashew Persimmon Mulberry
Date Blackberry Breadfruit Honeyberry Kumquat Redcurrant Tamarind Pineberry Durian Cloudberry
Plantain Nance Acerola Jackfruit Bilberry Plum Yuzu Sapodilla Avocado Feijoa
Nectarine Grape Pomelo Cherry Blueberry Apple Tangerine Guava Akebi Jostaberry
Lychee Akebi Nance Cranberry Grape Loquat Jackfruit Cantaloupe Lime Tayberry
Pineapple Date Plantain Honeydew Elderberry Nectarine Passionfruit Cempedak Bilberry Ackee
Grape Tangelo Kiwifruit Marionberry Salmonberry Pineapple Durian Nance Akebi Blackberry
Salak Lulo Rambutan  Abiu Sapodilla Mangosteen Salak Strawberry Lulo Passionfruit
brave bright gifted relieved thoughtful talented bloody putrid drab fancy
aggressive grotesque graceful jittery plain important fine fair friendly crazy
brainy proud prickly beautiful shiny troubled quaint grieving encouraging obnoxious
gleaming homely cruel worrisome fantastic open inexpensive annoying exuberant different
hungry poised tasty grumpy blue vast hilarious powerful happy ashamed
bewildered black different bored bloody arrogant talented selfish grotesque eager
shy creepy creepy adorable gleaming gleaming vast alive different charming
energetic wild drab colorful dangerous proud good attractive annoying adventurous
handsome expensive mysterious horrible wrong kind better thoughtful repulsive adorable
lucky careful ugly lonely calm dead curious fair hurt putrid
outstanding thankful fantastic cheerful successful precious silly energetic inquisitive ugly
BinaryNumber_0000000 BinaryNumber_1000001 BinaryNumber_1001111 BinaryNumber_0111001 BinaryNumber_0100001 BinaryNumber_1000011 BinaryNumber_0100111 BinaryNumber_0011101 BinaryNumber_0101000 BinaryNumber_0010001
BinaryNumber_0001110 BinaryNumber_1011111 BinaryNumber_0101010 BinaryNumber_0000111 BinaryNumber_1000100 BinaryNumber_1011110 BinaryNumber_0100010 BinaryNumber_0100011 BinaryNumber_1001001 BinaryNumber_0101000
BinaryNumber_0100010 BinaryNumber_0101001 BinaryNumber_1010001 BinaryNumber_0100111 BinaryNumber_0000110 BinaryNumber_0101101 BinaryNumber_1001101 BinaryNumber_1000110 BinaryNumber_1100011 BinaryNumber_0110001
BinaryNumber_0111101 BinaryNumber_1100011 BinaryNumber_1010011 BinaryNumber_1000000 BinaryNumber_1001110 BinaryNumber_0100100 BinaryNumber_1011110 BinaryNumber_1100010 BinaryNumber_0000010 BinaryNumber_1000011
BinaryNumber_1000100 BinaryNumber_1001001 BinaryNumber_1011110 BinaryNumber_0111110 BinaryNumber_0011010 BinaryNumber_0110111 BinaryNumber_1011000 BinaryNumber_0110111 BinaryNumber_0010001 BinaryNumber_0011001
BinaryNumber_1011100 BinaryNumber_0001101 BinaryNumber_0001011 BinaryNumber_1011111 BinaryNumber_1001000 BinaryNumber_0000111 BinaryNumber_1001011 BinaryNumber_0101101 BinaryNumber_0010010 BinaryNumber_0101100
BinaryNumber_0010011 BinaryNumber_1010010 BinaryNumber_1001001 BinaryNumber_1010011 BinaryNumber_0100100 BinaryNumber_0111010 BinaryNumber_0001100 BinaryNumber_0111100 BinaryNumber_1000000 BinaryNumber_1000001
