DarkOrchid DarkSlateGray BlueViolet Yellow IndianRed DarkGray White Tan DarkRed LightSlateBlue
DarkSlateGray PaleTurquoise Lime Orchid LightGoldenrodYellow MediumSeaGreen MediumAquamarine Pink Wheat LightSlateGray
White Violet DarkCyan LightSteelBlue LightBlue WhiteSmoke GreenYellow Wheat Navy PaleGreen
LightSalmon DarkViolet HotPink MistyRose Red SaddleBrown LawnGreen Olive Beige LightSeaGreen
Snow LightSlateBlue LightGray Violet MediumSeaGreen DimGray LightSeaGreen Gainsboro Salmon AntiqueWhite
PaleTurquoise Blue Olive Violet BlanchedAlmond BlueViolet PapayaWhip Yellow DarkOrchid OrangeRed
Maroon OrangeRed Teal DarkRed Red LightBlue SlateGray LightCoral DarkGoldenrod MediumAquamarine
SkyBlue Thistle Moccasin DarkTurquoise OrangeRed BlanchedAlmond Salmon Aquamarine MintCream VioletRed
LightBlue Thistle OrangeRed Tan Cornsilk LightSeaGreen Black Bisque DarkKhaki MediumTurquoise
WhiteSmoke Green MediumSlateBlue DarkCyan LightGreen Coral Black LightBlue Navy Violet
MediumSeaGreen MidnightBlue RosyBrown LightGoldenrod MediumVioletRed HotPink Red DarkCyan Olive MediumPurple
BinaryNumber_0110011 BinaryNumber_1010001 BinaryNumber_0010100 BinaryNumber_0000111 BinaryNumber_0010000 BinaryNumber_0000010 BinaryNumber_1010011 BinaryNumber_0001101 BinaryNumber_0101000 BinaryNumber_0000100
BinaryNumber_0100110 BinaryNumber_1000111 BinaryNumber_1010111 BinaryNumber_1010101 BinaryNumber_0101101 BinaryNumber_1001110 BinaryNumber_0000000 BinaryNumber_0100001 BinaryNumber_0101010 BinaryNumber_0100001
BinaryNumber_0110001 BinaryNumber_1011011 BinaryNumber_0010000 BinaryNumber_1001101 BinaryNumber_0100000 BinaryNumber_0001011 BinaryNumber_0000110 BinaryNumber_1100000 BinaryNumber_1001101 BinaryNumber_0101100
BinaryNumber_0010100 BinaryNumber_0101000 BinaryNumber_0100101 BinaryNumber_0101010 BinaryNumber_0101011 BinaryNumber_0111011 BinaryNumber_0000101 BinaryNumber_0100111 BinaryNumber_1010010 BinaryNumber_1001000
