successful smiling difficult blue-eyed tired poised upset foolish agreeable sparkling
dizzy poor homeless open cruel prickly naughty sparkling uninterested average
bad wide-eyed frantic friendly fierce ashamed glorious famous innocent attractive
tense filthy stupid depressed condemned distinct nervous wild silly bad
unusual clumsy frail old-fashioned determined misty vast friendly bewildered faithful
proud clean strange wicked dead alert blue-eyed bad aggressive smiling
hungry obnoxious mysterious sleepy stupid impossible ashamed clever impossible old-fashioned
unusual repulsive worrisome glorious filthy angry gorgeous sore blushing clumsy
doubtful defeated adventurous alive better elated embarrassed graceful fantastic thankful
homely plain comfortable homeless fierce fantastic comfortable enchanting aggressive grieving
zany enchanting tense elated mysterious puzzled stupid nasty bored awful
BinaryNumber_1001000 BinaryNumber_1000011 BinaryNumber_0011101 BinaryNumber_1100000 BinaryNumber_1000011 BinaryNumber_0001100 BinaryNumber_1001011 BinaryNumber_0010010 BinaryNumber_1010011 BinaryNumber_0011011
BinaryNumber_0111101 BinaryNumber_0100011 BinaryNumber_0101100 BinaryNumber_1100011 BinaryNumber_0011110 BinaryNumber_0101000 BinaryNumber_0101110 BinaryNumber_0010010 BinaryNumber_0110110 BinaryNumber_0111100
BinaryNumber_1011001 BinaryNumber_0111001 BinaryNumber_0111101 BinaryNumber_0111001 BinaryNumber_0001110 BinaryNumber_1000000 BinaryNumber_0011011 BinaryNumber_0010100 BinaryNumber_0010100 BinaryNumber_1001100
BinaryNumber_1000011 BinaryNumber_0000011 BinaryNumber_0111101 BinaryNumber_0111110 BinaryNumber_1000111 BinaryNumber_0111110 BinaryNumber_1000110 BinaryNumber_0010100 BinaryNumber_1010111 BinaryNumber_0011101
BinaryNumber_1010000 BinaryNumber_0001110 BinaryNumber_1001011 BinaryNumber_0001011 BinaryNumber_0110001 BinaryNumber_0001110 BinaryNumber_0010110 BinaryNumber_0101100 BinaryNumber_0101111 BinaryNumber_1001011
BinaryNumber_1001000 BinaryNumber_1000010 BinaryNumber_0101010 BinaryNumber_0000000 BinaryNumber_0101011 BinaryNumber_1011010 BinaryNumber_0000000 BinaryNumber_0011001 BinaryNumber_0101010 BinaryNumber_1011110
BinaryNumber_1011100 BinaryNumber_0000101 BinaryNumber_0001010 BinaryNumber_0101101 BinaryNumber_0100111 BinaryNumber_0000011 BinaryNumber_1011110 BinaryNumber_1010111 BinaryNumber_0001111 BinaryNumber_0011010
BinaryNumber_0010101 BinaryNumber_1010101 BinaryNumber_0100001 BinaryNumber_0000010 BinaryNumber_0011001 BinaryNumber_0111000 BinaryNumber_0110110 BinaryNumber_1010100 BinaryNumber_1000010 BinaryNumber_0001010
BinaryNumber_1000000 BinaryNumber_0100001 BinaryNumber_0011011 BinaryNumber_0001000 BinaryNumber_0001010 BinaryNumber_0001000 BinaryNumber_1001100 BinaryNumber_0100011 BinaryNumber_0100101 BinaryNumber_0000100
BinaryNumber_0000001 BinaryNumber_0111100 BinaryNumber_1011100 BinaryNumber_0001111 BinaryNumber_0010101 BinaryNumber_1001110 BinaryNumber_0101110 BinaryNumber_1010100 BinaryNumber_0111011 BinaryNumber_0101111
BinaryNumber_1001011 BinaryNumber_1001110 BinaryNumber_0111001 BinaryNumber_0000110 BinaryNumber_1001100 BinaryNumber_1000110 BinaryNumber_1000010 BinaryNumber_0011111 BinaryNumber_1000011 BinaryNumber_1100011
SquareNumber_4 SquareNumber_1521 SquareNumber_1296 SquareNumber_6561 SquareNumber_9801 SquareNumber_576 SquareNumber_1089 SquareNumber_2401 SquareNumber_1849 SquareNumber_5625
SquareNumber_7921 SquareNumber_9604 SquareNumber_16 SquareNumber_5041 SquareNumber_484 SquareNumber_2809 SquareNumber_1024 SquareNumber_4761 SquareNumber_8836 SquareNumber_5776
SquareNumber_324 SquareNumber_25 SquareNumber_1681 SquareNumber_8281 SquareNumber_6400 SquareNumber_25 SquareNumber_5184 SquareNumber_1156 SquareNumber_1600 SquareNumber_3481
SquareNumber_10000 SquareNumber_6724 SquareNumber_5329 SquareNumber_4096 SquareNumber_1156 SquareNumber_2809 SquareNumber_4489 SquareNumber_64 SquareNumber_6724 SquareNumber_4900
SquareNumber_729 SquareNumber_6724 SquareNumber_900 SquareNumber_1681 SquareNumber_225 SquareNumber_121 SquareNumber_64 SquareNumber_324 SquareNumber_6084 SquareNumber_6084
SquareNumber_1089 SquareNumber_5476 SquareNumber_5041 SquareNumber_1444 SquareNumber_1296 SquareNumber_25 SquareNumber_9604 SquareNumber_7569 SquareNumber_3249 SquareNumber_1369
SquareNumber_8836 SquareNumber_9409 SquareNumber_100 SquareNumber_25 SquareNumber_4356 SquareNumber_5625 SquareNumber_484 SquareNumber_1764 SquareNumber_1296 SquareNumber_1849
SquareNumber_900 SquareNumber_3025 SquareNumber_3969 SquareNumber_1225 SquareNumber_1936 SquareNumber_1764 SquareNumber_441 SquareNumber_3844 SquareNumber_4624 SquareNumber_49
SquareNumber_49 SquareNumber_5929 SquareNumber_5476 SquareNumber_1024 SquareNumber_1521 SquareNumber_4356 SquareNumber_841 SquareNumber_4900 SquareNumber_1089 SquareNumber_100
